candidate_id,family_id,cost_profile,scenario_rows,scheduled_event_rows,symbols,realized_net_pnl_inr,scheduled_notional_inr,avg_net_edge_bps,avg_depth_beyond_l1_qty_imbalance,avg_level_weighted_depth_imbalance,avg_spread_bps,return_on_scheduled_notional_bps
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P268_ASK_ABSORPTION_BREADTH_REPAIR,cost200,84,444,7,-4569.665076977361,21050000.0,-2.268923526675066,-0.5728925988082649,-0.5865926963833548,2.7745721003892005,-2.170862269347915
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,84,2,-7341.469576166833,4000000.0,-19.051258192433984,0.5726958568431121,0.5731882969199219,5.400855943625852,-18.35367394041708
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,84,408,7,-8864.742572096015,19187500.0,-4.426064933005229,0.5667030582519536,0.4377881418183883,2.591776808087591,-4.620061275359486
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,264,5,-11481.454396706235,12700000.0,-9.502434823584027,0.5437916140594434,0.4859700627387942,2.8778371127225912,-9.040515272997034
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,276,5,-13344.41684977296,13400000.0,-9.812702009328302,0.5463500485581412,0.42572272107004205,1.561136444731472,-9.958520037144
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,384,7,-15145.43646210058,18400000.0,-8.240290674861566,0.5832381703101006,0.47749855884015613,3.0322639818498325,-8.231215468532925
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,300,5,-16034.621144293385,14350000.0,-11.14854513509875,0.5567658397926188,0.4447734291216616,1.5401235200383405,-11.173952016929189
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,324,5,-16725.358622907406,15750000.0,-10.490373751451102,0.5552588080257276,0.4451986830926095,1.559799522777967,-10.619275316131686
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,96,504,6,-19264.178544007307,23700000.0,-8.275094916924088,0.560463607605721,0.4766221534647502,1.55971691585822,-8.128345377218272
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,408,6,-19864.99275810972,19750000.0,-9.894191574792915,0.5612040526390172,0.46574623977879764,1.564464022100216,-10.058224181321378
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,48,408,8,-22148.83251000722,19350000.0,-11.335416347057508,0.5793923843946807,0.4874446192398305,2.8129673345507213,-11.446425069771173
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,60,300,7,-22158.132643014975,14137500.0,-15.685170466991513,0.5684240131774291,0.5819640862289658,3.9532371020291985,-15.67330337260122
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,84,276,6,-22919.48542129271,13000000.0,-17.717121677136706,0.6130877267426078,0.6459493966209555,4.026595401916876,-17.63037340099439
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,P268_BID_ABSORPTION_BREADTH_REPAIR,cost200,84,444,8,-24168.041440856916,21000000.0,-11.408568795993725,0.5714858750993811,0.4860050423999948,2.778495484630208,-11.508591162312817
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost200,96,1128,11,-46040.24607556727,52250000.0,-8.616486184258573,-0.31411685436842857,-0.335528036485456,2.7161527653627986,-8.811530349390866
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR,cost200,96,1284,11,-55516.691915633775,58375000.0,-9.588577474227735,-0.17685892582803614,-0.1535484990199793,2.6232443521530415,-9.510354075483303
